City Name,Temperature,Weather Condition
Accra,27 °C,Passing clouds. Warm.
Addis Ababa,10 °C,Passing clouds. Cool.
Adelaide,18 °C,Cool.
Algiers,17 °C,Passing clouds. Mild.
Almaty,4 °C,Fog. Chilly.
Amman,11 °C,Clear. Cool.
Amsterdam,6 °C,Passing clouds. Quite cool.
Anadyr,-24 °C,Sunny. Extremely cold.
Anchorage,-3 °C,Mostly cloudy. Chilly.
Ankara,2 °C,Clear. Chilly.
Antananarivo,19 °C,Passing clouds. Mild.
Asuncion,16 °C,Clear. Cool.
Athens,20 °C,Mild.
Atlanta,11 °C,Overcast. Cool.
Auckland,21 °C,Overcast. Mild.
Baghdad,13 °C,Clear. Cool.
Bangkok,28 °C,Passing clouds. Warm.
Barcelona,7 °C,Passing clouds. Quite cool.
Beijing,1 °C,Sunny. Chilly.
Beirut,20 °C,Clear. Mild.
Belgrade,5 °C,Quite cool.
Bengaluru,21 °C,Scattered clouds. Mild.
Berlin,2 °C,Mostly cloudy. Chilly.
Bogota,12 °C,Passing clouds. Cool.
Boston,4 °C,Passing clouds. Chilly.
Brasilia,23 °C,Passing clouds. Mild.
Brisbane,28 °C,Warm.
Brussels,5 °C,Passing clouds. Quite cool.
Bucharest,4 °C,Low clouds. Chilly.
Budapest,-4 °C,Passing clouds. Cold.
Buenos Aires,19 °C,Clear. Mild.
Cairo,16 °C,Clear. Cool.
Calgary,0 °C,Light snow. Ice fog. Chilly.
Canberra,26 °C,Partly sunny. Pleasantly warm.
Cape Town,18 °C,Clear. Mild.
Caracas,27 °C,Passing clouds. Warm.
Casablanca,15 °C,Cool.
Chicago,6 °C,Low clouds. Quite cool.
Copenhagen,-1 °C,Fog. Chilly.
Dallas,26 °C,Passing clouds. Warm.
Dar es Salaam,25 °C,Scattered clouds. Warm.
Darwin,34 °C,Scattered clouds. Extremely hot.
Denver,8 °C,Passing clouds. Cool.
Detroit,3 °C,Partly cloudy. Chilly.
Dhaka,20 °C,Clear. Mild.
Doha,26 °C,Sunny. Warm.
Dubai,23 °C,Haze. Mild.
Dublin,2 °C,Passing clouds. Chilly.
Edmonton,-1 °C,Light snow. Mostly cloudy. Chilly.
Frankfurt,2 °C,Scattered showers. Passing clouds. Chilly.
Guatemala City,19 °C,Passing clouds. Mild.
Halifax,2 °C,Passing clouds. Chilly.
Hanoi,17 °C,Overcast. Mild.
Harare,16 °C,Passing clouds. Cool.
Havana,23 °C,Passing clouds. Mild.
Helsinki,-10 °C,Clear. Cold.
Hong Kong,16 °C,Passing clouds. Refreshingly cool.
Honolulu,27 °C,Scattered clouds. Warm.
Houston,23 °C,Passing clouds. Mild.
Indianapolis,7 °C,Low clouds. Quite cool.
Islamabad,10 °C,Haze. Cool.
Istanbul,19 °C,Clear. Mild.
Jakarta,30 °C,Partly sunny. Warm.
Jerusalem,14 °C,Cool.
Johannesburg,12 °C,Overcast. Cool.
Karachi,15 °C,Clear. Cool.
Kathmandu,16 °C,Fog. Cool.
Kingston,30 °C,Warm.
Kinshasa,23 °C,Passing clouds. Mild.
Kiritimati,27 °C,Passing clouds. Warm.
Kolkata,25 °C,Haze. Warm.
